Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,127.290001,128.339996,127.000000,128.339996,123.319778,392900
2017-01-04,128.580002,129.899994,128.559998,129.589996,124.520897,334400
2017-01-05,129.589996,130.199997,129.320007,130.149994,125.058990,231700
2017-01-06,130.330002,130.960007,129.869995,130.550003,125.443352,264400
2017-01-09,130.600006,131.710007,130.509995,131.539993,126.394638,300700
2017-01-10,131.740005,132.619995,131.259995,132.009995,126.846245,270800
2017-01-11,132.179993,132.619995,129.380005,130.470001,125.366478,397300
2017-01-12,130.149994,130.809998,129.580002,130.669998,125.558655,343400
2017-01-13,130.949997,131.619995,130.600006,131.009995,125.885353,182000
2017-01-17,130.610001,130.610001,129.300003,130.190002,125.097443,271600
2017-01-18,130.490005,130.729996,129.820007,130.149994,125.058990,183100
2017-01-19,130.110001,130.110001,129.080002,129.309998,124.251839,167000
2017-01-20,129.470001,129.869995,128.839996,129.020004,123.973213,204800
2017-01-23,128.759995,129.190002,127.959999,128.309998,123.290962,286200
2017-01-24,128.190002,128.750000,126.910004,127.660004,122.666412,278100
2017-01-25,127.949997,128.929993,127.760002,128.809998,123.771408,210000
2017-01-26,128.479996,128.820007,127.879997,127.879997,122.877785,233100
2017-01-27,128.199997,128.910004,128.110001,128.830002,123.790634,205600
2017-01-30,128.490005,128.860001,127.500000,128.070007,123.060364,244400
2017-01-31,127.910004,130.199997,127.620003,130.139999,125.049370,321200
2017-02-01,130.449997,131.169998,130.080002,131.059998,125.933388,215400
2017-02-02,130.949997,131.449997,130.449997,131.309998,126.173592,300100
2017-02-03,131.770004,132.130005,131.130005,132.070007,126.903877,171400
2017-02-06,131.889999,132.070007,131.460007,132.070007,126.903877,131400
2017-02-07,132.179993,132.639999,131.699997,131.979996,126.817390,177300
2017-02-08,131.289993,132.179993,131.089996,131.899994,126.740540,167700
2017-02-09,131.899994,133.059998,131.850006,132.759995,127.566887,144900
2017-02-10,132.880005,133.300003,132.600006,132.860001,127.662979,163400
2017-02-13,133.300003,133.770004,133.089996,133.679993,128.450897,219600
2017-02-14,133.610001,134.850006,133.380005,134.850006,129.575134,416600
2017-02-15,134.529999,136.509995,134.529999,136.300003,130.968445,239600
2017-02-16,136.380005,136.500000,135.070007,136.039993,130.718582,195200
2017-02-17,135.649994,136.309998,135.600006,136.309998,130.978043,322500
2017-02-21,136.580002,137.289993,136.419998,136.860001,131.506531,468700
2017-02-22,136.820007,137.130005,136.500000,136.559998,131.218262,197900
2017-02-23,136.750000,137.529999,136.309998,137.289993,131.919708,248700
2017-02-24,137.039993,138.149994,137.039993,138.100006,132.698013,238800
2017-02-27,138.029999,139.130005,137.899994,139.050003,133.610870,376900
2017-02-28,138.740005,139.149994,138.339996,138.490005,133.072754,253200
2017-03-01,139.080002,140.419998,138.919998,140.110001,134.629395,541500
2017-03-02,139.820007,140.470001,139.580002,139.649994,134.187378,458200
2017-03-03,139.539993,140.300003,139.389999,140.300003,134.811966,169000
2017-03-06,139.759995,139.940002,139.009995,139.559998,134.100906,161400
2017-03-07,138.490005,139.139999,138.059998,138.479996,133.063141,341400
2017-03-08,138.470001,139.559998,138.470001,139.000000,133.562805,167400
2017-03-09,139.020004,139.899994,139.009995,139.850006,134.379593,134700
2017-03-10,140.369995,140.429993,139.669998,140.240005,134.754318,147100
2017-03-13,140.259995,140.399994,139.589996,140.289993,134.802353,308000
2017-03-14,139.690002,140.190002,139.419998,139.660004,134.196991,356700
2017-03-15,139.710007,141.679993,139.699997,141.360001,135.830475,131100
2017-03-16,141.529999,141.529999,139.639999,140.210007,134.725510,447300
2017-03-17,140.070007,140.070007,139.369995,139.429993,133.975998,153900
2017-03-20,139.690002,139.800003,139.009995,139.289993,133.841446,109300
2017-03-21,139.759995,139.990005,137.589996,137.779999,132.390533,255800
2017-03-22,137.839996,138.160004,137.160004,138.029999,132.630768,132600
2017-03-23,137.789993,138.520004,137.330002,137.500000,132.121475,144500
2017-03-24,137.199997,137.869995,136.800003,137.380005,132.432877,162300
2017-03-27,136.440002,138.100006,136.009995,137.860001,132.895554,237800
2017-03-28,137.899994,138.139999,137.229996,137.919998,132.953415,288400
2017-03-29,138.190002,138.449997,137.830002,138.020004,133.049805,204600
2017-03-30,138.190002,138.440002,137.630005,138.110001,133.136551,133400
2017-03-31,137.839996,138.139999,137.630005,137.820007,132.857010,115200
2017-04-03,137.929993,138.470001,137.320007,137.669998,132.712433,270700
2017-04-04,137.589996,137.779999,137.149994,137.500000,132.548523,259300
2017-04-05,137.839996,138.460007,136.809998,136.979996,132.047256,204800
2017-04-06,137.000000,137.410004,136.699997,137.289993,132.346100,223300
2017-04-07,137.139999,137.830002,136.830002,137.520004,132.567810,185400
2017-04-10,137.580002,138.050003,137.220001,137.339996,132.394272,103300
2017-04-11,137.070007,137.380005,136.389999,137.080002,132.143661,109800
2017-04-12,137.050003,137.470001,136.559998,137.080002,132.143661,91100
2017-04-13,136.960007,137.440002,136.830002,136.949997,132.018356,83500
2017-04-17,136.839996,137.410004,136.460007,137.300003,132.355728,90000
