Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,58.049999,58.610001,57.240002,58.369999,58.369999,921100
2019-01-02,57.040001,57.930000,56.049999,57.590000,57.590000,1641500
2019-01-03,56.480000,57.299999,55.330002,55.540001,55.540001,1543600
2019-01-04,56.799999,59.404999,56.519001,58.220001,58.220001,1876000
2019-01-07,59.380001,62.230000,58.700001,61.279999,61.279999,2087800
2019-01-08,62.500000,63.709999,61.145000,63.250000,63.250000,2164600
2019-01-09,63.680000,63.840000,62.383999,62.560001,62.560001,1413800
2019-01-10,61.660000,63.525002,61.367001,62.959999,62.959999,712700
2019-01-11,62.750000,63.540001,62.169998,62.450001,62.450001,750600
2019-01-14,61.320000,62.130001,61.000000,61.549999,61.549999,1252300
2019-01-15,61.580002,63.750000,61.570000,63.009998,63.009998,1845900
2019-01-16,63.570000,64.839996,62.509998,62.939999,62.939999,1530800
2019-01-17,63.110001,64.389999,62.750000,63.709999,63.709999,1344400
2019-01-18,64.750000,65.629997,63.919998,65.029999,65.029999,1780200
2019-01-22,64.580002,64.644997,63.410000,64.040001,64.040001,1682000
2019-01-23,64.769997,66.820000,63.799999,64.400002,64.400002,1495900
2019-01-24,64.370003,65.165001,63.799999,64.519997,64.519997,2541100
2019-01-25,65.260002,66.028000,64.599998,65.790001,65.790001,955100
2019-01-28,65.169998,66.089996,64.400002,65.910004,65.910004,1403800
2019-01-29,65.970001,66.084999,64.559998,64.629997,64.629997,749500
2019-01-30,65.400002,66.309998,64.894997,65.930000,65.930000,1847700
2019-01-31,66.550003,68.552002,66.489998,67.529999,67.529999,2204400
2019-02-01,67.440002,69.199997,67.320000,69.080002,69.080002,2093000
2019-02-04,69.470001,70.489998,68.837997,68.989998,68.989998,2484000
2019-02-05,69.300003,69.445000,68.080002,68.599998,68.599998,3379600
2019-02-06,78.000000,78.849998,71.010002,72.400002,72.400002,9472300
2019-02-07,71.339996,73.430000,69.870003,73.269997,73.269997,3060400
2019-02-08,72.699997,76.410004,72.250000,76.379997,76.379997,3164500
2019-02-11,77.040001,78.410004,75.839996,76.790001,76.790001,2007200
2019-02-12,77.839996,78.744003,76.980003,78.470001,78.470001,1715400
2019-02-13,79.000000,79.830002,77.290001,77.489998,77.489998,1488500
2019-02-14,77.349998,79.160004,76.139999,78.970001,78.970001,2282200
2019-02-15,79.150002,79.306000,77.389999,78.730003,78.730003,1307500
2019-02-19,78.320000,79.080002,77.199997,78.070000,78.070000,1644000
2019-02-20,78.059998,79.720001,76.959999,77.160004,77.160004,2999300
2019-02-21,76.580002,77.220001,75.660004,77.059998,77.059998,1628500
2019-02-22,77.400002,78.841003,77.332001,78.839996,78.839996,1211700
2019-02-25,79.720001,80.230003,78.910004,79.059998,79.059998,2023500
2019-02-26,78.730003,79.629997,78.074997,79.169998,79.169998,1198500
2019-02-27,79.220001,79.849998,78.565002,79.320000,79.320000,1143700
2019-02-28,79.269997,80.250000,78.610001,79.019997,79.019997,2736100
2019-03-01,80.000000,80.629997,79.139999,80.269997,80.269997,1849100
2019-03-04,80.730003,80.980003,74.610001,77.010002,77.010002,3708400
2019-03-05,76.830002,77.489998,75.519997,77.040001,77.040001,1915200
2019-03-06,76.629997,77.375000,74.900002,75.209999,75.209999,1953300
2019-03-07,75.010002,77.019997,74.180000,75.919998,75.919998,1971900
2019-03-08,74.500000,77.230003,73.839996,77.199997,77.199997,1373100
2019-03-11,77.430000,80.400002,77.389999,79.209999,79.209999,2473400
2019-03-12,79.589996,81.489998,78.419998,81.400002,81.400002,2268300
2019-03-13,81.610001,82.919998,81.219002,81.699997,81.699997,3343300
2019-03-14,81.790001,83.830002,81.260002,82.959999,82.959999,1455400
2019-03-15,82.730003,83.589996,82.050003,82.599998,82.599998,1955100
2019-03-18,82.599998,83.500000,81.296997,82.919998,82.919998,1979200
2019-03-19,83.410004,84.559998,82.510002,83.879997,83.879997,1534500
2019-03-20,83.540001,84.949997,82.769997,84.019997,84.019997,1545100
2019-03-21,83.800003,86.129997,83.785004,85.639999,85.639999,1325000
2019-03-22,84.940002,85.000000,81.833000,82.820000,82.820000,1590300
2019-03-25,82.110001,83.160004,81.324997,82.720001,82.720001,2026200
2019-03-26,83.930000,84.870003,83.199997,84.180000,84.180000,1025200
2019-03-27,84.269997,84.500000,80.910004,82.410004,82.410004,1361400
2019-03-28,82.769997,83.680000,81.860001,83.320000,83.320000,826300
2019-03-29,84.129997,85.500000,83.416000,85.000000,85.000000,1002100
2019-04-01,86.010002,86.478996,83.660004,85.330002,85.330002,1119100
2019-04-02,85.379997,86.485001,84.550003,86.269997,86.269997,886800
2019-04-03,86.580002,86.849998,85.260002,85.430000,85.430000,1146100
2019-04-04,85.480003,85.690002,80.150002,82.099998,82.099998,2008500
2019-04-05,82.529999,82.889999,81.120003,81.709999,81.709999,1797100
2019-04-08,81.550003,82.279999,79.699997,81.790001,81.790001,964700
2019-04-09,81.199997,83.059998,81.199997,82.599998,82.599998,1225100
2019-04-10,83.089996,84.910004,82.629997,83.339996,83.339996,1597300
2019-04-11,83.430000,84.014999,82.639999,83.889999,83.889999,1053600
2019-04-12,84.480003,84.510002,82.400002,83.199997,83.199997,590300
2019-04-15,83.000000,84.120003,82.699997,83.220001,83.220001,1439200
2019-04-16,83.660004,83.879997,81.309998,81.970001,81.970001,1544100
2019-04-17,82.089996,82.550003,79.260002,80.699997,80.699997,1821900
2019-04-18,80.000000,81.209999,78.430000,80.900002,80.900002,1484300
2019-04-22,80.870003,82.709999,80.254997,82.580002,82.580002,769200
2019-04-23,82.919998,83.874001,82.809998,83.480003,83.480003,1211800
2019-04-24,84.349998,84.839996,82.669998,82.959999,82.959999,2300600
2019-04-25,84.010002,86.089996,83.250000,84.529999,84.529999,1756000
2019-04-26,84.690002,86.040001,84.209999,85.769997,85.769997,1035700
2019-04-29,86.440002,87.724998,86.000000,87.550003,87.550003,2065100
2019-04-30,87.489998,87.919998,86.000000,87.779999,87.779999,2122600
2019-05-01,85.250000,85.919998,83.485001,84.769997,84.769997,3913000
2019-05-02,84.650002,84.959999,81.610001,83.650002,83.650002,2015900
2019-05-03,84.470001,87.089996,83.400002,86.949997,86.949997,1888200
2019-05-06,84.639999,87.889999,83.519997,87.809998,87.809998,2122100
2019-05-07,86.959999,87.309998,83.930000,85.250000,85.250000,1914500
