Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,102.879997,104.699997,102.269997,104.410004,104.410004,4669200
2018-01-03,104.900002,106.139999,104.620003,105.290001,105.290001,3888700
2018-01-04,106.000000,107.660004,105.769997,106.680000,106.680000,4540200
2018-01-05,107.760002,108.300003,107.199997,108.099998,108.099998,3368400
2018-01-08,108.000000,109.139999,107.570000,108.860001,108.860001,2933600
2018-01-09,109.000000,109.339996,108.250000,109.150002,109.150002,3302300
2018-01-10,108.680000,109.489998,108.230003,108.800003,108.800003,3113300
2018-01-11,109.000000,109.400002,108.669998,109.099998,109.099998,3668100
2018-01-12,109.230003,110.709999,108.910004,110.239998,110.239998,5749500
2018-01-16,110.849998,111.440002,108.230003,108.889999,108.889999,5790800
2018-01-17,109.750000,110.379997,109.230003,110.040001,110.040001,4079600
2018-01-18,110.230003,112.169998,110.220001,111.769997,111.769997,3842800
2018-01-19,112.209999,112.400002,111.610001,111.930000,111.930000,3120900
2018-01-22,111.629997,112.959999,111.010002,112.889999,112.889999,2214700
2018-01-23,113.180000,113.760002,112.680000,113.239998,113.239998,2816800
2018-01-24,113.629997,113.839996,112.500000,112.849998,112.849998,4975500
2018-01-25,113.279999,113.470001,111.900002,111.959999,111.959999,4715100
2018-01-26,112.720001,113.919998,112.029999,113.699997,113.699997,3927400
2018-01-29,113.699997,114.410004,112.849998,113.300003,113.300003,3181500
2018-01-30,112.419998,113.449997,111.839996,112.230003,112.230003,3737700
2018-01-31,113.059998,114.519997,112.639999,113.910004,113.910004,4181800
2018-02-01,113.300003,114.269997,112.529999,112.739998,112.739998,4302800
2018-02-02,112.029999,112.349998,110.709999,110.779999,110.779999,4403800
2018-02-05,109.150002,111.610001,107.500000,107.650002,107.650002,6124000
2018-02-06,105.010002,109.620003,103.690002,109.570000,109.570000,6857900
2018-02-07,109.070000,112.290001,108.809998,110.050003,110.050003,4515400
2018-02-08,110.099998,110.180000,104.000000,104.029999,104.029999,6803800
2018-02-09,105.320000,108.110001,102.370003,106.980003,106.980003,6615800
2018-02-12,107.699997,109.480003,106.260002,108.550003,108.550003,4624100
2018-02-13,108.010002,108.080002,105.930000,107.690002,107.690002,7542800
2018-02-14,106.730003,109.220001,106.730003,109.019997,109.019997,7428000
2018-02-15,112.309998,113.430000,110.050003,113.120003,113.120003,8341900
2018-02-16,112.839996,114.150002,112.669998,112.860001,112.860001,4667300
2018-02-20,112.449997,115.260002,112.279999,114.349998,114.349998,4287800
2018-02-21,114.769997,115.669998,114.169998,114.480003,114.480003,4976500
2018-02-22,114.519997,115.000000,112.480003,113.000000,113.000000,4763400
2018-02-23,113.629997,114.959999,112.739998,114.959999,114.959999,4173500
2018-02-26,116.110001,116.800003,115.370003,116.650002,116.650002,5418900
2018-02-27,117.300003,117.610001,115.760002,116.470001,116.470001,5908200
2018-02-28,117.000000,118.150002,116.220001,116.250000,116.250000,9684400
2018-03-01,120.910004,122.470001,118.050003,119.430000,119.430000,15555500
2018-03-02,118.650002,122.330002,117.639999,121.919998,121.919998,10627500
2018-03-05,120.000000,122.940002,119.660004,122.500000,122.500000,10121300
2018-03-06,122.870003,124.690002,122.750000,124.480003,124.480003,8154800
2018-03-07,123.379997,125.769997,123.180000,125.330002,125.330002,6750400
2018-03-08,125.760002,127.290001,125.699997,126.360001,126.360001,6127900
2018-03-09,127.190002,127.500000,126.250000,127.410004,127.410004,5637800
2018-03-12,127.870003,128.199997,126.779999,126.779999,126.779999,5609800
2018-03-13,127.889999,128.110001,125.730003,126.730003,126.730003,4641800
2018-03-14,127.050003,128.869995,126.510002,127.989998,127.989998,5402400
2018-03-15,128.000000,128.460007,126.669998,127.220001,127.220001,4603500
2018-03-16,127.290001,127.949997,125.690002,125.970001,125.970001,6662900
2018-03-19,125.029999,125.760002,123.470001,124.980003,124.980003,6830400
2018-03-20,124.589996,126.830002,124.449997,125.120003,125.120003,7113600
2018-03-21,121.559998,124.019997,120.199997,121.699997,121.699997,14824000
2018-03-22,120.400002,120.660004,117.440002,118.040001,118.040001,10950500
2018-03-23,118.010002,118.080002,114.309998,114.430000,114.430000,10902100
2018-03-26,118.239998,119.260002,115.040001,118.970001,118.970001,13171700
