Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,73.279999,73.750000,72.110001,72.199997,65.972610,4737400
2015-01-02,72.129997,72.989998,71.410004,71.879997,65.680222,6029800
2015-01-05,71.500000,71.839996,71.089996,71.580002,65.406097,11258700
2015-01-06,72.000000,72.470001,70.870003,71.220001,65.077141,12838800
2015-01-07,71.720001,73.099998,71.510002,73.000000,66.703606,8104100
2015-01-08,73.709999,74.779999,73.709999,74.750000,68.302681,7608400
2015-01-09,74.629997,74.839996,74.139999,74.400002,67.982872,8787700
2015-01-12,74.459999,74.739998,74.099998,74.470001,68.046829,7292800
2015-01-13,74.879997,75.389999,72.540001,72.790001,66.511726,9508300
2015-01-14,71.790001,72.459999,71.410004,71.769997,65.579704,8702300
2015-01-15,72.290001,72.410004,71.480003,71.900002,65.698502,13290200
2015-01-16,71.690002,72.849998,71.250000,72.760002,66.484322,8832000
2015-01-20,72.940002,73.250000,71.610001,72.199997,65.972610,10524900
2015-01-21,71.879997,73.239998,71.480003,73.059998,66.758438,10793800
2015-01-22,72.970001,75.489998,72.970001,75.480003,68.969711,17866600
2015-01-23,75.849998,77.389999,75.470001,76.949997,70.312920,23243300
2015-01-26,76.870003,76.930000,74.980003,75.589996,69.070221,34907400
2015-01-27,75.019997,75.610001,74.620003,75.260002,68.768692,9927200
2015-01-28,74.849998,75.510002,73.410004,73.410004,67.078247,12731800
2015-01-29,73.120003,73.379997,72.110001,73.010002,66.712769,11889900
2015-01-30,72.839996,72.919998,71.209999,71.400002,65.241623,15810900
2015-02-02,70.980003,72.779999,70.910004,72.760002,66.484322,9912300
2015-02-03,73.480003,74.809998,73.139999,74.790001,68.339218,9738500
2015-02-04,74.650002,75.089996,73.980003,74.129997,67.736145,7378300
2015-02-05,75.129997,75.459999,74.709999,75.320000,68.823517,5737700
2015-02-06,75.320000,75.660004,74.300003,74.470001,68.046829,5371500
2015-02-09,74.260002,74.559998,73.470001,73.620003,67.270157,5470800
2015-02-10,73.959999,75.059998,73.739998,74.870003,68.412323,5663300
2015-02-11,74.900002,75.180000,74.040001,74.389999,67.973732,7457700
2015-02-12,74.809998,75.040001,74.300003,74.930000,68.467155,5542800
2015-02-13,74.459999,75.279999,73.730003,75.260002,68.768692,9009400
2015-02-17,76.540001,78.300003,76.330002,78.070000,71.336342,13476900
2015-02-18,78.070000,78.599998,77.970001,78.500000,71.729240,7330700
2015-02-19,78.589996,78.589996,77.849998,78.129997,71.391129,6900500
2015-02-20,77.959999,78.800003,77.449997,78.790001,71.994217,6665200
2015-02-23,78.669998,79.449997,78.669998,79.250000,72.414551,6051500
2015-02-24,79.110001,79.209999,78.730003,79.019997,72.204376,4853500
2015-02-25,79.019997,79.400002,78.440002,78.629997,71.848022,4598800
2015-02-26,78.739998,78.989998,78.379997,78.809998,72.012512,5413500
2015-02-27,78.529999,78.760002,77.559998,77.589996,70.897720,8848200
2015-03-02,77.589996,78.919998,77.589996,78.830002,72.030785,5240300
2015-03-03,78.800003,78.980003,77.370003,78.029999,71.299774,4662500
2015-03-04,77.559998,78.470001,77.050003,78.190002,71.445976,5360300
2015-03-05,78.379997,78.959999,78.040001,78.500000,71.729240,5780500
2015-03-06,78.000000,78.320000,76.430000,76.480003,69.883453,7052400
2015-03-09,76.570000,77.120003,76.190002,76.900002,70.267242,6134400
2015-03-10,76.510002,76.660004,75.839996,75.870003,69.326073,4921500
2015-03-11,76.000000,77.000000,75.839996,76.050003,69.490555,6954600
2015-03-12,75.889999,76.830002,75.800003,76.760002,70.139320,4014400
2015-03-13,76.650002,76.680000,75.879997,76.470001,69.874329,5289000
2015-03-16,76.889999,77.870003,76.870003,77.669998,70.970833,6497300
2015-03-17,77.419998,77.500000,76.410004,76.720001,70.102760,4497300
2015-03-18,76.419998,78.199997,76.099998,77.610001,70.915993,5858300
2015-03-19,78.269997,78.269997,77.269997,77.660004,70.961693,4794000
2015-03-20,78.379997,78.449997,77.699997,78.019997,71.290634,9159500
2015-03-23,78.000000,78.870003,77.930000,78.669998,71.884567,5634200
2015-03-24,78.750000,79.239998,78.680000,78.720001,71.930252,5854900
2015-03-25,78.839996,79.500000,77.550003,77.599998,70.906860,8133600
2015-03-26,76.940002,77.470001,76.510002,76.610001,70.278481,5590700
2015-03-27,76.540001,77.599998,76.500000,77.379997,70.984848,4480300
2015-03-30,77.699997,78.449997,77.699997,78.419998,71.938873,3765900
2015-03-31,78.489998,78.839996,77.870003,77.989998,71.544418,5773400
2015-04-01,78.620003,78.730003,75.970001,76.139999,69.847321,8381400
2015-04-02,76.010002,77.120003,75.830002,76.870003,70.516975,5113600
2015-04-06,76.309998,77.550003,76.269997,77.360001,70.966492,4372000
2015-04-07,77.570000,77.769997,77.150002,77.180000,70.801369,3529200
2015-04-08,77.360001,77.449997,76.300003,76.389999,70.076660,6279600
2015-04-09,76.339996,77.199997,76.080002,77.129997,70.755501,4888900
2015-04-10,77.099998,77.959999,77.040001,77.930000,71.489380,4521300
2015-04-13,77.599998,78.660004,77.370003,78.080002,71.626984,5782000
2015-04-14,78.000000,78.059998,77.440002,77.889999,71.452698,3988200
2015-04-15,78.000000,78.290001,77.720001,77.910004,71.471016,3388800
2015-04-16,77.779999,77.980003,76.949997,77.019997,70.654602,4201200
2015-04-17,76.440002,77.300003,76.239998,76.489998,70.168388,5815500
2015-04-20,76.839996,77.400002,76.760002,77.139999,70.764671,4246600
2015-04-21,77.489998,77.529999,76.919998,77.080002,70.709633,4265100
2015-04-22,77.400002,78.120003,77.059998,78.010002,71.562767,4861100
2015-04-23,77.760002,78.970001,77.550003,78.500000,72.012283,4702400
2015-04-24,78.480003,78.480003,77.580002,77.610001,71.195824,4662000
2015-04-27,78.059998,78.150002,75.930000,76.209999,69.911530,8739800
2015-04-28,75.410004,76.769997,74.419998,76.519997,70.195908,7761700
2015-04-29,76.150002,76.529999,75.000000,75.690002,69.434502,5655300
2015-04-30,75.260002,75.629997,74.120003,74.449997,68.296989,6331500
2015-05-01,74.010002,75.680000,74.010002,75.599998,69.351929,5883200
2015-05-04,76.000000,76.230003,75.730003,75.900002,69.627144,3137300
